a1 1.0	a1
bauh6 1.0	b auh6
bauh7 1.0	b auh7
bauh8 1.0	b auh8
bauh9 1.0	b auh9
be1 1.0	b e1
be2 1.0	b e2
be3 1.0	b e3
be4 1.0	b e4
be5 1.0	b e5
be6 1.0	b e6
be7 1.0	b e7
be8 1.0	b e8
be9 1.0	b e9
beh1 1.0	b eh1
beh2 1.0	b eh2
beh3 1.0	b eh3
beh4 1.0	b eh4
beh5 1.0	b eh5
beh6 1.0	b eh6
beh7 1.0	b eh7
beh8 1.0	b eh8
beh9 1.0	b eh9
benn1 1.0	b enn1
benn2 1.0	b enn2
benn3 1.0	b enn3
benn4 1.0	b enn4
benn5 1.0	b enn5
benn6 1.0	b enn6
benn7 1.0	b enn7
benn8 1.0	b enn8
benn9 1.0	b enn9
bennh1 1.0	b ennh1
bennh2 1.0	b ennh2
bennh3 1.0	b ennh3
bennh4 1.0	b ennh4
bennh5 1.0	b ennh5
bennh6 1.0	b ennh6
bennh7 1.0	b ennh7
bennh8 1.0	b ennh8
bennh9 1.0	b ennh9
ber1 1.0	b er1
ber2 1.0	b er2
ber3 1.0	b er3
ber4 1.0	b er4
ber5 1.0	b er5
ber6 1.0	b er6
ber7 1.0	b er7
ber8 1.0	b er8
ber9 1.0	b er9
berh1 1.0	b erh1
berh2 1.0	b erh2
berh3 1.0	b erh3
berh4 1.0	b erh4
berh5 1.0	b erh5
berh6 1.0	b erh6
berh7 1.0	b erh7
berh8 1.0	b erh8
berh9 1.0	b erh9
bi1 1.0	b i1
bi2 1.0	b i2
bi3 1.0	b i3
bi4 1.0	b i4
bi5 1.0	b i5
bi6 1.0	b i6
bi7 1.0	b i7
bi8 1.0	b i8
bi9 1.0	b i9
bia1 1.0	b ia1
bia2 1.0	b ia2
bia3 1.0	b ia3
bia4 1.0	b ia4
bia5 1.0	b ia5
bia6 1.0	b ia6
bia7 1.0	b ia7
bia8 1.0	b ia8
bia9 1.0	b ia9
biah1 1.0	b iah1
biah2 1.0	b iah2
biah3 1.0	b iah3
biah4 1.0	b iah4
biah5 1.0	b iah5
biah6 1.0	b iah6
biah7 1.0	b iah7
biah8 1.0	b iah8
biah9 1.0	b iah9
biak1 1.0	b iak1
biak2 1.0	b iak2
biak3 1.0	b iak3
biak4 1.0	b iak4
biak5 1.0	b iak5
biak6 1.0	b iak6
biak7 1.0	b iak7
biak8 1.0	b iak8
biak9 1.0	b iak9
biam1 1.0	b iam1
biam2 1.0	b iam2
biam3 1.0	b iam3
biam4 1.0	b iam4
biam5 1.0	b iam5
biam6 1.0	b iam6
biam7 1.0	b iam7
biam8 1.0	b iam8
biam9 1.0	b iam9
bian1 1.0	b ian1
bian2 1.0	b ian2
bian3 1.0	b ian3
bian4 1.0	b ian4
bian5 1.0	b ian5
bian6 1.0	b ian6
bian7 1.0	b ian7
bian8 1.0	b ian8
bian9 1.0	b ian9
biang1 1.0	b iang1
biang2 1.0	b iang2
biang3 1.0	b iang3
biang4 1.0	b iang4
biang5 1.0	b iang5
biang6 1.0	b iang6
biang7 1.0	b iang7
biang8 1.0	b iang8
biang9 1.0	b iang9
biann1 1.0	b iann1
biann2 1.0	b iann2
biann3 1.0	b iann3
biann4 1.0	b iann4
biann5 1.0	b iann5
biann6 1.0	b iann6
biann7 1.0	b iann7
biann8 1.0	b iann8
biann9 1.0	b iann9
biannh1 1.0	b iannh1
biannh2 1.0	b iannh2
biannh3 1.0	b iannh3
biannh4 1.0	b iannh4
biannh5 1.0	b iannh5
biannh6 1.0	b iannh6
biannh7 1.0	b iannh7
biannh8 1.0	b iannh8
biannh9 1.0	b iannh9
biap1 1.0	b iap1
biap2 1.0	b iap2
biap3 1.0	b iap3
biap4 1.0	b iap4
biap5 1.0	b iap5
biap6 1.0	b iap6
biap7 1.0	b iap7
biap8 1.0	b iap8
biap9 1.0	b iap9
biat1 1.0	b iat1
biat2 1.0	b iat2
biat3 1.0	b iat3
biat4 1.0	b iat4
biat5 1.0	b iat5
biat6 1.0	b iat6
biat7 1.0	b iat7
biat8 1.0	b iat8
biat9 1.0	b iat9
biau1 1.0	b iau1
biau2 1.0	b iau2
biau3 1.0	b iau3
biau4 1.0	b iau4
biau5 1.0	b iau5
biau6 1.0	b iau6
biau7 1.0	b iau7
biau8 1.0	b iau8
biau9 1.0	b iau9
biauh1 1.0	b iauh1
biauh2 1.0	b iauh2
biauh3 1.0	b iauh3
biauh4 1.0	b iauh4
biauh5 1.0	b iauh5
biauh6 1.0	b iauh6
biauh7 1.0	b iauh7
biauh8 1.0	b iauh8
biauh9 1.0	b iauh9
biaunn1 1.0	b iaunn1
biaunn2 1.0	b iaunn2
biaunn3 1.0	b iaunn3
biaunn4 1.0	b iaunn4
biaunn5 1.0	b iaunn5
biaunn6 1.0	b iaunn6
biaunn7 1.0	b iaunn7
biaunn8 1.0	b iaunn8
biaunn9 1.0	b iaunn9
bih1 1.0	b ih1
bih2 1.0	b ih2
bih3 1.0	b ih3
bih4 1.0	b ih4
bih5 1.0	b ih5
bih6 1.0	b ih6
bih7 1.0	b ih7
bih8 1.0	b ih8
bih9 1.0	b ih9
bik1 1.0	b ik1
bik2 1.0	b ik2
bik3 1.0	b ik3
bik4 1.0	b ik4
bik5 1.0	b ik5
bik6 1.0	b ik6
bik7 1.0	b ik7
bik8 1.0	b ik8
bik9 1.0	b ik9
bim1 1.0	b im1
bim2 1.0	b im2
bim3 1.0	b im3
bim4 1.0	b im4
bim5 1.0	b im5
bim6 1.0	b im6
bim7 1.0	b im7
bim8 1.0	b im8
bim9 1.0	b im9
bin1 1.0	b in1
bin2 1.0	b in2
bin3 1.0	b in3
bin4 1.0	b in4
bin5 1.0	b in5
bin6 1.0	b in6
bin7 1.0	b in7
bin8 1.0	b in8
bin9 1.0	b in9
bing1 1.0	b ing1
bing2 1.0	b ing2
bing3 1.0	b ing3
bing4 1.0	b ing4
bing5 1.0	b ing5
bing6 1.0	b ing6
bing7 1.0	b ing7
bing8 1.0	b ing8
bing9 1.0	b ing9
binn1 1.0	b inn1
binn2 1.0	b inn2
binn3 1.0	b inn3
binn4 1.0	b inn4
binn5 1.0	b inn5
binn6 1.0	b inn6
binn7 1.0	b inn7
binn8 1.0	b inn8
binn9 1.0	b inn9
binnh1 1.0	b innh1
binnh2 1.0	b innh2
binnh3 1.0	b innh3
binnh4 1.0	b innh4
binnh5 1.0	b innh5
binnh6 1.0	b innh6
binnh7 1.0	b innh7
binnh8 1.0	b innh8
binnh9 1.0	b innh9
bio1 1.0	b io1
bio2 1.0	b io2
bio3 1.0	b io3
bio4 1.0	b io4
bio5 1.0	b io5
bio6 1.0	b io6
bio7 1.0	b io7
bio8 1.0	b io8
bio9 1.0	b io9
bioh1 1.0	b ioh1
bioh2 1.0	b ioh2
bioh3 1.0	b ioh3
bioh4 1.0	b ioh4
bioh5 1.0	b ioh5
bioh6 1.0	b ioh6
bioh7 1.0	b ioh7
bioh8 1.0	b ioh8
bioh9 1.0	b ioh9
biok1 1.0	b iok1
biok2 1.0	b iok2
biok3 1.0	b iok3
biok4 1.0	b iok4
biok5 1.0	b iok5
biok6 1.0	b iok6
biok7 1.0	b iok7
biok8 1.0	b iok8
biok9 1.0	b iok9
biong1 1.0	b iong1
biong2 1.0	b iong2
biong3 1.0	b iong3
biong4 1.0	b iong4
biong5 1.0	b iong5
biong6 1.0	b iong6
biong7 1.0	b iong7
biong8 1.0	b iong8
biong9 1.0	b iong9
bionn1 1.0	b ionn1
bionn2 1.0	b ionn2
bionn3 1.0	b ionn3
bionn4 1.0	b ionn4
bionn5 1.0	b ionn5
bionn6 1.0	b ionn6
bionn7 1.0	b ionn7
bionn8 1.0	b ionn8
bionn9 1.0	b ionn9
biooh1 1.0	b iooh1
biooh2 1.0	b iooh2
biooh3 1.0	b iooh3
biooh4 1.0	b iooh4
biooh5 1.0	b iooh5
biooh6 1.0	b iooh6
biooh7 1.0	b iooh7
biooh8 1.0	b iooh8
biooh9 1.0	b iooh9
bior1 1.0	b ior1
bior2 1.0	b ior2
bior3 1.0	b ior3
bior4 1.0	b ior4
bior5 1.0	b ior5
bior6 1.0	b ior6
bior7 1.0	b ior7
bior8 1.0	b ior8
bior9 1.0	b ior9
bip1 1.0	b ip1
bip2 1.0	b ip2
bip3 1.0	b ip3
bip4 1.0	b ip4
bip5 1.0	b ip5
bip6 1.0	b ip6
bip7 1.0	b ip7
bip8 1.0	b ip8
bip9 1.0	b ip9
bir1 1.0	b ir1
bir2 1.0	b ir2
bir3 1.0	b ir3
bir4 1.0	b ir4
bir5 1.0	b ir5
bir6 1.0	b ir6
bir7 1.0	b ir7
bir8 1.0	b ir8
bir9 1.0	b ir9
birn1 1.0	b irn1
birn2 1.0	b irn2
birn3 1.0	b irn3
birn4 1.0	b irn4
birn5 1.0	b irn5
birn6 1.0	b irn6
birn7 1.0	b irn7
birn8 1.0	b irn8
birn9 1.0	b irn9
bit1 1.0	b it1
bit2 1.0	b it2
bit3 1.0	b it3
bit4 1.0	b it4
bit5 1.0	b it5
bit6 1.0	b it6
bit7 1.0	b it7
bit8 1.0	b it8
bit9 1.0	b it9
biu1 1.0	b iu1
biu2 1.0	b iu2
biu3 1.0	b iu3
biu4 1.0	b iu4
biu5 1.0	b iu5
biu6 1.0	b iu6
biu7 1.0	b iu7
biu8 1.0	b iu8
biu9 1.0	b iu9
biuh1 1.0	b iuh1
biuh2 1.0	b iuh2
biuh3 1.0	b iuh3
biuh4 1.0	b iuh4
biuh5 1.0	b iuh5
biuh6 1.0	b iuh6
biuh7 1.0	b iuh7
biuh8 1.0	b iuh8
biuh9 1.0	b iuh9
biunn1 1.0	b iunn1
biunn2 1.0	b iunn2
biunn3 1.0	b iunn3
biunn4 1.0	b iunn4
biunn5 1.0	b iunn5
biunn6 1.0	b iunn6
biunn7 1.0	b iunn7
biunn8 1.0	b iunn8
biunn9 1.0	b iunn9
bm1 1.0	b m1
bm2 1.0	b m2
bm3 1.0	b m3
bm4 1.0	b m4
bm5 1.0	b m5
bm6 1.0	b m6
bm7 1.0	b m7
bm8 1.0	b m8
bm9 1.0	b m9
bmh1 1.0	b mh1
bmh2 1.0	b mh2
bmh3 1.0	b mh3
bmh4 1.0	b mh4
bmh5 1.0	b mh5
bmh6 1.0	b mh6
bmh7 1.0	b mh7
bmh8 1.0	b mh8
bmh9 1.0	b mh9
bng1 1.0	b ng1
bng2 1.0	b ng2
bng3 1.0	b ng3
bng4 1.0	b ng4
bng5 1.0	b ng5
bng6 1.0	b ng6
bng7 1.0	b ng7
bng8 1.0	b ng8
bng9 1.0	b ng9
bngh1 1.0	b ngh1
bngh2 1.0	b ngh2
bngh3 1.0	b ngh3
bngh4 1.0	b ngh4
bngh5 1.0	b ngh5
bngh6 1.0	b ngh6
bngh7 1.0	b ngh7
bngh8 1.0	b ngh8
bngh9 1.0	b ngh9
bo1 1.0	b o1
bo2 1.0	b o2
bo3 1.0	b o3
bo4 1.0	b o4
bo5 1.0	b o5
bo6 1.0	b o6
bo7 1.0	b o7
bo8 1.0	b o8
bo9 1.0	b o9
boh1 1.0	b oh1
boh2 1.0	b oh2
boh3 1.0	b oh3
boh4 1.0	b oh4
boh5 1.0	b oh5
boh6 1.0	b oh6
boh7 1.0	b oh7
boh8 1.0	b oh8
boh9 1.0	b oh9
bok1 1.0	b ok1
bok2 1.0	b ok2
bok3 1.0	b ok3
bok4 1.0	b ok4
bok5 1.0	b ok5
bok6 1.0	b ok6
bok7 1.0	b ok7
bok8 1.0	b ok8
bok9 1.0	b ok9
bom1 1.0	b om1
bom2 1.0	b om2
bom3 1.0	b om3
bom4 1.0	b om4
bom5 1.0	b om5
bom6 1.0	b om6
bom7 1.0	b om7
bom8 1.0	b om8
bom9 1.0	b om9
bong1 1.0	b ong1
bong2 1.0	b ong2
bong3 1.0	b ong3
bong4 1.0	b ong4
bong5 1.0	b ong5
bong6 1.0	b ong6
bong7 1.0	b ong7
bong8 1.0	b ong8
bong9 1.0	b ong9
bonn1 1.0	b onn1
bonn2 1.0	b onn2
bonn3 1.0	b onn3
bonn4 1.0	b onn4
bonn5 1.0	b onn5
bonn6 1.0	b onn6
bonn7 1.0	b onn7
bonn8 1.0	b onn8
bonn9 1.0	b onn9
bonnh1 1.0	b onnh1
bonnh2 1.0	b onnh2
bonnh3 1.0	b onnh3
bonnh4 1.0	b onnh4
bonnh5 1.0	b onnh5
bonnh6 1.0	b onnh6
bonnh7 1.0	b onnh7
bonnh8 1.0	b onnh8
bonnh9 1.0	b onnh9
boo1 1.0	b oo1
boo2 1.0	b oo2
boo3 1.0	b oo3
boo4 1.0	b oo4
boo5 1.0	b oo5
boo6 1.0	b oo6
boo7 1.0	b oo7
boo8 1.0	b oo8
boo9 1.0	b oo9
booh1 1.0	b ooh1
booh2 1.0	b ooh2
booh3 1.0	b ooh3
booh4 1.0	b ooh4
booh5 1.0	b ooh5
booh6 1.0	b ooh6
booh7 1.0	b ooh7
booh8 1.0	b ooh8
booh9 1.0	b ooh9
bop1 1.0	b op1
bop2 1.0	b op2
bop3 1.0	b op3
bop4 1.0	b op4
bop5 1.0	b op5
bop6 1.0	b op6
bop7 1.0	b op7
bop8 1.0	b op8
bop9 1.0	b op9
bu1 1.0	b u1
bu2 1.0	b u2
bu3 1.0	b u3
bu4 1.0	b u4
bu5 1.0	b u5
bu6 1.0	b u6
bu7 1.0	b u7
bu8 1.0	b u8
bu9 1.0	b u9
bua1 1.0	b ua1
bua2 1.0	b ua2
bua3 1.0	b ua3
bua4 1.0	b ua4
bua5 1.0	b ua5
bua6 1.0	b ua6
bua7 1.0	b ua7
bua8 1.0	b ua8
bua9 1.0	b ua9
buah1 1.0	b uah1
buah2 1.0	b uah2
buah3 1.0	b uah3
buah4 1.0	b uah4
buah5 1.0	b uah5
buah6 1.0	b uah6
buah7 1.0	b uah7
buah8 1.0	b uah8
buah9 1.0	b uah9
buai1 1.0	b uai1
buai2 1.0	b uai2
buai3 1.0	b uai3
buai4 1.0	b uai4
buai5 1.0	b uai5
buai6 1.0	b uai6
buai7 1.0	b uai7
buai8 1.0	b uai8
buai9 1.0	b uai9
buainn1 1.0	b uainn1
buainn2 1.0	b uainn2
buainn3 1.0	b uainn3
buainn4 1.0	b uainn4
buainn5 1.0	b uainn5
buainn6 1.0	b uainn6
buainn7 1.0	b uainn7
buainn8 1.0	b uainn8
buainn9 1.0	b uainn9
buainnh1 1.0	b uainnh1
buainnh2 1.0	b uainnh2
buainnh3 1.0	b uainnh3
buainnh4 1.0	b uainnh4
buainnh5 1.0	b uainnh5
buainnh6 1.0	b uainnh6
buainnh7 1.0	b uainnh7
buainnh8 1.0	b uainnh8
buainnh9 1.0	b uainnh9
buan1 1.0	b uan1
buan2 1.0	b uan2
buan3 1.0	b uan3
buan4 1.0	b uan4
buan5 1.0	b uan5
buan6 1.0	b uan6
buan7 1.0	b uan7
buan8 1.0	b uan8
buan9 1.0	b uan9
buang1 1.0	b uang1
buang2 1.0	b uang2
buang3 1.0	b uang3
buang4 1.0	b uang4
buang5 1.0	b uang5
buang6 1.0	b uang6
buang7 1.0	b uang7
buang8 1.0	b uang8
buang9 1.0	b uang9
buann1 1.0	b uann1
buann2 1.0	b uann2
buann3 1.0	b uann3
buann4 1.0	b uann4
buann5 1.0	b uann5
buann6 1.0	b uann6
buann7 1.0	b uann7
buann8 1.0	b uann8
buann9 1.0	b uann9
buat1 1.0	b uat1
buat2 1.0	b uat2
buat3 1.0	b uat3
buat4 1.0	b uat4
buat5 1.0	b uat5
buat6 1.0	b uat6
buat7 1.0	b uat7
buat8 1.0	b uat8
buat9 1.0	b uat9
bue1 1.0	b ue1
bue2 1.0	b ue2
bue3 1.0	b ue3
bue4 1.0	b ue4
bue5 1.0	b ue5
bue6 1.0	b ue6
bue7 1.0	b ue7
bue8 1.0	b ue8
bue9 1.0	b ue9
bueh1 1.0	b ueh1
bueh2 1.0	b ueh2
bueh3 1.0	b ueh3
bueh4 1.0	b ueh4
bueh5 1.0	b ueh5
bueh6 1.0	b ueh6
bueh7 1.0	b ueh7
bueh8 1.0	b ueh8
bueh9 1.0	b ueh9
buh1 1.0	b uh1
buh2 1.0	b uh2
buh3 1.0	b uh3
buh4 1.0	b uh4
buh5 1.0	b uh5
buh6 1.0	b uh6
buh7 1.0	b uh7
buh8 1.0	b uh8
buh9 1.0	b uh9
bui1 1.0	b ui1
bui2 1.0	b ui2
bui3 1.0	b ui3
bui4 1.0	b ui4
bui5 1.0	b ui5
bui6 1.0	b ui6
bui7 1.0	b ui7
bui8 1.0	b ui8
bui9 1.0	b ui9
buih1 1.0	b uih1
buih2 1.0	b uih2
buih3 1.0	b uih3
buih4 1.0	b uih4
buih5 1.0	b uih5
buih6 1.0	b uih6
buih7 1.0	b uih7
buih8 1.0	b uih8
buih9 1.0	b uih9
buinn1 1.0	b uinn1
buinn2 1.0	b uinn2
buinn3 1.0	b uinn3
buinn4 1.0	b uinn4
buinn5 1.0	b uinn5
buinn6 1.0	b uinn6
buinn7 1.0	b uinn7
buinn8 1.0	b uinn8
buinn9 1.0	b uinn9
bun1 1.0	b un1
bun2 1.0	b un2
bun3 1.0	b un3
bun4 1.0	b un4
bun5 1.0	b un5
bun6 1.0	b un6
bun7 1.0	b un7
bun8 1.0	b un8
bun9 1.0	b un9
but1 1.0	b ut1
but2 1.0	b ut2
but3 1.0	b ut3
but4 1.0	b ut4
but5 1.0	b ut5
but6 1.0	b ut6
but7 1.0	b ut7
but8 1.0	b ut8
but9 1.0	b ut9
e1 1.0	e1
e2 1.0	e2
e3 1.0	e3
e4 1.0	e4
e5 1.0	e5
e6 1.0	e6
e7 1.0	e7
e8 1.0	e8
e9 1.0	e9
eh1 1.0	eh1
eh2 1.0	eh2
eh3 1.0	eh3
eh4 1.0	eh4
eh5 1.0	eh5
eh6 1.0	eh6
eh7 1.0	eh7
eh8 1.0	eh8
eh9 1.0	eh9
enn1 1.0	enn1
enn2 1.0	enn2
enn3 1.0	enn3
enn4 1.0	enn4
enn5 1.0	enn5
enn6 1.0	enn6
enn7 1.0	enn7
enn8 1.0	enn8
enn9 1.0	enn9
ennh1 1.0	ennh1
ennh2 1.0	ennh2
ennh3 1.0	ennh3
ennh4 1.0	ennh4
ennh5 1.0	ennh5
ennh6 1.0	ennh6
ennh7 1.0	ennh7
ennh8 1.0	ennh8
ennh9 1.0	ennh9
er1 1.0	er1
er2 1.0	er2
er3 1.0	er3
er4 1.0	er4
er5 1.0	er5
er6 1.0	er6
er7 1.0	er7
er8 1.0	er8
er9 1.0	er9
erh1 1.0	erh1
erh2 1.0	erh2
erh3 1.0	erh3
erh4 1.0	erh4
erh5 1.0	erh5
erh6 1.0	erh6
erh7 1.0	erh7
erh8 1.0	erh8
erh9 1.0	erh9
ga1 1.0	g a1
ga2 1.0	g a2
ga3 1.0	g a3
ga4 1.0	g a4
ga5 1.0	g a5
ga6 1.0	g a6
ga7 1.0	g a7
ga8 1.0	g a8
ga9 1.0	g a9
gah1 1.0	g ah1
gah2 1.0	g ah2
gah3 1.0	g ah3
gah4 1.0	g ah4
gah5 1.0	g ah5
gah6 1.0	g ah6
gah7 1.0	g ah7
gah8 1.0	g ah8
gah9 1.0	g ah9
gai1 1.0	g ai1
gai2 1.0	g ai2
gai3 1.0	g ai3
gai4 1.0	g ai4
gai5 1.0	g ai5
gai6 1.0	g ai6
gai7 1.0	g ai7
gai8 1.0	g ai8
gai9 1.0	g ai9
gaih1 1.0	g aih1
gaih2 1.0	g aih2
gaih3 1.0	g aih3
gaih4 1.0	g aih4
gaih5 1.0	g aih5
gaih6 1.0	g aih6
gaih7 1.0	g aih7
gaih8 1.0	g aih8
gaih9 1.0	g aih9
gainn1 1.0	g ainn1
gainn2 1.0	g ainn2
gainn3 1.0	g ainn3
gainn4 1.0	g ainn4
gainn5 1.0	g ainn5
gainn6 1.0	g ainn6
gainn7 1.0	g ainn7
gainn8 1.0	g ainn8
gainn9 1.0	g ainn9
gak1 1.0	g ak1
gak2 1.0	g ak2
gak3 1.0	g ak3
gak4 1.0	g ak4
gak5 1.0	g ak5
gak6 1.0	g ak6
gak7 1.0	g ak7
gak8 1.0	g ak8
gak9 1.0	g ak9
gam1 1.0	g am1
gam2 1.0	g am2
gam3 1.0	g am3
gam4 1.0	g am4
gam5 1.0	g am5
gam6 1.0	g am6
gam7 1.0	g am7
gam8 1.0	g am8
gam9 1.0	g am9
gan1 1.0	g an1
gan2 1.0	g an2
gan3 1.0	g an3
gan4 1.0	g an4
gan5 1.0	g an5
gan6 1.0	g an6
gan7 1.0	g an7
gan8 1.0	g an8
gan9 1.0	g an9
gang1 1.0	g ang1
gang2 1.0	g ang2
gang3 1.0	g ang3
gang4 1.0	g ang4
gang5 1.0	g ang5
gang6 1.0	g ang6
gang7 1.0	g ang7
gang8 1.0	g ang8
gang9 1.0	g ang9
gann1 1.0	g ann1
gann2 1.0	g ann2
gann3 1.0	g ann3
gann4 1.0	g ann4
gann5 1.0	g ann5
gann6 1.0	g ann6
gann7 1.0	g ann7
gann8 1.0	g ann8
gann9 1.0	g ann9
gannh1 1.0	g annh1
gannh2 1.0	g annh2
gannh3 1.0	g annh3
gannh4 1.0	g annh4
gannh5 1.0	g annh5
gannh6 1.0	g annh6
gannh7 1.0	g annh7
gannh8 1.0	g annh8
gannh9 1.0	g annh9
gap1 1.0	g ap1
